," Short Term Drought Blend (gridMET Drought) at Lands, 2006-12-01 to 2021-09-30"
"2016-05-24",-0.3784
"2016-05-29",-0.271
"2016-06-03",-0.2833
"2016-06-08",-0.6139
"2016-06-13",-0.7783
"2016-06-18",-0.6843
"2016-06-23",-0.4588
"2016-06-28",-0.3816
"2016-07-03",-0.2864
"2016-07-08",-0.2013
"2016-07-13",-0.1791
"2016-07-18",-0.1152
"2016-07-23",-0.1716
"2016-07-28",-0.0541
"2016-08-02",0.0086
"2016-08-07",-0.2567
"2016-08-12",-0.2664
"2016-08-17",-0.19
"2016-08-22",-0.121
"2016-08-27",-0.0581
"2016-09-01",-0.0823
"2016-09-06",-0.0709
"2016-09-11",-0.0878
"2016-09-16",-0.1669
"2016-09-21",-0.2943
"2016-09-26",-0.3768
"2016-10-01",-0.4334
"2016-10-06",-0.5931
"2016-10-11",-0.6545
"2016-10-16",0.0282
"2016-10-21",-0.1059
"2016-10-26",-0.2532
"2016-10-31",0.7368
"2016-11-05",0.7115
"2016-11-10",0.4977
"2016-11-15",0.1834
"2016-11-20",0.4774
"2016-11-25",0.3484
"2016-11-30",-0.1326
"2016-12-05",-0.3138
"2016-12-10",-0.0776
"2016-12-15",0.1558
"2016-12-20",-0.1553
"2016-12-25",-0.0689
"2016-12-30",-0.3793
"2017-01-05",0.0049
"2017-01-10",0.5142
"2017-01-15",0.3243
"2017-01-20",0.918
"2017-01-25",1.1599
"2017-01-30",1.2715
"2017-02-04",1.1783
"2017-02-09",1.0667
"2017-02-14",1.0276
"2017-02-19",1.0307
"2017-02-24",0.9338
"2017-03-01",0.894
"2017-03-06",0.7545
"2017-03-11",0.4575
"2017-03-16",0.3301
"2017-03-21",0.2004
"2017-03-26",0.0578
"2017-03-31",0.2859
"2017-04-05",0.2484
"2017-04-10",0.3804
"2017-04-15",0.5255
"2017-04-20",0.5924
"2017-04-25",0.3593
"2017-04-30",0.3984
"2017-05-05",0.3451
"2017-05-10",0.2964
"2017-05-15",0.2497
"2017-05-20",-0.0172
"2017-05-25",-0.2128
"2017-05-30",-0.1534
"2017-06-04",0.0287
"2017-06-09",0.0088
"2017-06-14",0.0736
"2017-06-19",0.0668
"2017-06-24",0.079
"2017-06-29",0.1524
"2017-07-04",0.0849
"2017-07-09",0.1492
"2017-07-14",0.1297
"2017-07-19",-0.0545
"2017-07-24",-0.0085
"2017-07-29",0.1108
"2017-08-03",0.1803
"2017-08-08",0.1685
"2017-08-13",0.1687
"2017-08-18",0.2302
"2017-08-23",0.2696
"2017-08-28",0.3027
"2017-09-02",0.1774
"2017-09-07",0.1838
"2017-09-12",0.1636
"2017-09-17",0.0786
"2017-09-22",-0.055
"2017-09-27",-0.143
"2017-10-02",-0.2014
"2017-10-07",-0.3745
"2017-10-12",-0.4504
"2017-10-17",-0.5607
"2017-10-22",-0.3919
"2017-10-27",-0.5988
"2017-11-01",-0.7454
"2017-11-06",-0.4524
"2017-11-11",-0.7567
"2017-11-16",-0.6501
"2017-11-21",-0.7942
"2017-11-26",-0.6647
"2017-12-01",-0.7432
"2017-12-06",-0.9764
"2017-12-11",-1.3116
"2017-12-16",-1.7694
"2017-12-21",-1.6353
"2017-12-26",-1.6828
"2017-12-31",-1.8093
"2018-01-05",-1.7249
"2018-01-10",-0.5714
"2018-01-15",-0.5276
"2018-01-20",-0.5502
"2018-01-25",-0.5989
"2018-01-30",-0.6141
"2018-02-04",-0.6963
"2018-02-09",-1.55
"2018-02-14",-1.6415
"2018-02-19",-1.849
"2018-02-24",-1.7991
"2018-03-01",-1.3044
"2018-03-06",-1.195
"2018-03-11",-1.0615
"2018-03-16",-0.7135
"2018-03-21",-0.1143
"2018-03-26",0.008
"2018-03-31",-0.2793
"2018-04-05",-0.3147
"2018-04-10",-0.2926
"2018-04-15",-0.4287
"2018-04-20",-0.6176
"2018-04-25",-0.6925
"2018-04-30",-0.9439
"2018-05-05",-0.882
"2018-05-10",-1.1002
"2018-05-15",-1.0776
"2018-05-20",-0.9008
"2018-05-25",-0.7218
"2018-05-30",-0.8242
"2018-06-04",-0.7473
"2018-06-09",-0.6793
"2018-06-14",-0.6335
"2018-06-19",-0.7465
"2018-06-24",-0.7115
"2018-06-29",-0.6312
"2018-07-04",-0.5275
"2018-07-09",-0.5787
"2018-07-14",-0.6231
"2018-07-19",-0.65
"2018-07-24",-0.6083
"2018-07-29",-0.4857
"2018-08-03",-0.4338
"2018-08-08",-0.3723
"2018-08-13",-0.3807
"2018-08-18",-0.3016
"2018-08-23",-0.2313
"2018-08-28",-0.1658
"2018-09-02",-0.1868
"2018-09-07",-0.1639
"2018-09-12",-0.1795
"2018-09-17",-0.219
"2018-09-22",-0.3064
"2018-09-27",-0.4057
"2018-10-02",-0.4524
"2018-10-07",-0.0058
"2018-11-21",-0.9965
"2018-11-26",-0.7223
"2018-12-01",0.3381
"2018-12-06",0.3824
"2018-12-11",0.3858
"2018-12-16",0.6766
"2018-12-21",0.4589
"2018-12-26",0.381
"2018-12-31",-0.4239
"2019-01-05",-0.6731
"2019-01-10",-0.3659
"2019-01-15",-0.2242
"2019-01-20",0.2793
"2019-01-25",0.1128
"2019-01-30",0.2969
"2019-02-04",0.969
"2019-02-09",1.2651
"2019-02-14",1.5396
"2019-02-19",1.4798
"2019-02-24",1.544
"2019-03-01",1.3657
"2019-03-06",0.6677
"2019-03-11",0.6534
"2019-03-16",0.2177
"2019-03-21",0.1417
"2019-03-26",0.1964
"2019-03-31",0.4734
"2019-04-05",0.3404
"2019-04-10",0.2548
"2019-04-15",0.3682
"2019-04-20",0.2031
"2019-04-25",0.2989
"2019-04-30",0.3146
"2019-05-05",-0.0726
"2019-05-10",-0.1744
"2019-05-15",0.1277
"2019-05-20",0.3526
"2019-05-25",0.4919
"2019-05-30",0.8132
"2019-06-04",0.8795
"2019-06-09",0.9104
"2019-06-14",0.792
"2019-06-19",0.5288
"2019-06-24",0.4734
"2019-06-29",0.3198
"2019-07-04",0.301
"2019-07-09",0.4384
"2019-07-14",0.4755
"2019-07-19",0.4788
"2019-07-24",0.4827
"2019-07-29",0.655
"2019-08-03",0.6732
"2019-08-08",0.6871
"2019-08-13",0.6654
"2019-08-18",0.5568
"2019-08-23",0.446
"2019-08-28",0.3085
"2019-09-02",0.2497
"2019-09-07",0.2545
"2019-09-12",0.2322
"2019-09-17",0.149
"2019-09-22",0.0159
"2019-09-27",-0.072
"2019-10-02",-0.1245
"2019-10-07",-0.2819
"2019-10-12",-0.3565
"2019-10-17",-0.4449
"2019-10-22",-0.5774
"2019-10-27",-0.7223
"2019-11-01",-0.9386
"2019-11-06",-0.9591
"2019-11-11",-1.2913
"2019-11-16",-1.4664
"2019-11-21",-1.5711
"2019-11-26",-0.9438
"2019-12-01",0.5998
"2019-12-06",1.3302
"2019-12-11",1.5315
"2019-12-16",1.6004
"2019-12-21",1.6282
"2019-12-26",1.8656
"2019-12-31",1.1453
"2020-01-05",0.4018
"2020-01-10",0.4612
"2020-01-15",0.402
"2020-01-20",0.5477
"2020-01-25",0.1939
"2020-01-30",0.0601
"2020-02-04",-0.1635
"2020-02-09",-0.211
"2020-02-14",-0.2875
"2020-02-19",-0.7294
"2020-02-24",-0.8187
"2020-02-29",-1.076
"2020-03-05",-1.8513
"2020-03-10",-1.6272
"2020-03-15",-1.1239
"2020-03-20",-0.692
"2020-03-25",-0.4551
"2020-03-30",-0.2503
"2020-04-04",-0.1952
"2020-04-09",0.3147
"2020-04-14",0.1255
"2020-04-19",0.0706
"2020-04-24",-0.0639
"2020-04-29",-0.1138
"2020-05-04",-0.2444
"2020-05-09",-0.7626
"2020-05-14",-0.721
"2020-05-19",-0.2732
"2020-05-24",-0.1875
"2020-05-29",-0.1151
"2020-06-03",-0.087
"2020-06-08",0.0145
"2020-06-13",0.0236
"2020-06-18",-0.1718
"2020-06-23",-0.1049
"2020-06-28",-0.0478
"2020-07-03",-0.0557
"2020-07-08",-0.2294
"2020-07-13",-0.1518
"2020-07-18",-0.111
"2020-07-23",-0.074
"2020-07-28",0.0571
"2020-08-02",0.1108
"2020-08-07",0.1289
"2020-08-12",0.1406
"2020-08-17",-0.033
"2020-08-22",0.0154
"2020-08-27",0.0626
"2020-09-01",-0.0214
"2020-09-06",-0.0128
"2020-09-11",-0.0319
"2020-09-16",-0.1146
"2020-09-21",-0.2416
"2020-09-26",-0.3288
"2020-10-01",-0.3917
"2020-10-06",-0.5585
"2020-10-11",-0.6233
"2020-10-16",-0.7246
"2020-10-21",-0.8613
"2020-10-26",-0.9913
"2020-11-25",-0.9867
"2020-11-30",-1.0321
"2020-12-30",-1.3555
"2021-01-05",-1.3281
