ID,Year,SurveyDate,TerritoryName,IsProtocolSurvey,ObservationID,Analysis Type,Sample Qualifier,BreedingStatus,StartTime,EndTime,CommonName,AdultCount,FledglingCount,NestlingCount,OtherCount,EggCountCode,IsTerritorialBehavior,Summary,NestCode,TerritoryNestID,varObject,VarFilter,Detection,JulianDay,Area_Type,BreedingYear,DaySinceDec15th
14173,2021,2021-04-13,North Wilderness Rock,TRUE,21803,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:45:00Z,1899-12-31T15:45:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at North Wilderness Rock.,"NA",549,frmSurveyDetail,[ID] = 14173,0,103,Non-core,2021,120
14173,2021,2021-04-13,Tugboat,TRUE,21802,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:45:00Z,1899-12-31T15:45:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Tugboat.,"NA",511,frmSurveyDetail,[ID] = 14173,0,103,Core,2021,120
14174,2021,2021-04-13,Willow Spring Slide,TRUE,21804,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T12:30:00Z,1899-12-31T12:35:00Z,Prairie Falcon,1,0,0,0,NA,Yes,"PRFA F ad sits low at WSS-2, likely incubating eggs.",WSS-2,1,frmSurveyDetail,[ID] = 14174,1,103,Non-core,2021,120
14181,2021,2021-04-21,Crowley Towers,TRUE,21813,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T14:50:00Z,1899-12-31T15:30:00Z,Prairie Falcon,2,0,0,0,NA,Yes,"PRFA M ad circles, lands on cliff N of Nest Knob, banks into CT-1, F ad quickly banks out, flies S, M does not re-emerge, very likely incubating eggs.",CT-1,102,frmSurveyDetail,[ID] = 14181,1,111,Core,2021,128
14184,2021,2021-04-26,Resurrection Wall,TRUE,21816,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T14:30:00Z,1899-12-31T15:30:00Z,Prairie Falcon,1,0,0,0,4,Yes,"PRFA ad incubates at least 4 eggs, flies from site, returns to continue incubation.",RW-2,181,frmSurveyDetail,[ID] = 14184,1,116,Core,2021,133
14188,2021,2021-04-23,North Chalone Peak,TRUE,21822,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T11:55:00Z,1899-12-31T12:50:00Z,Prairie Falcon,1,0,0,0,NA,Yes,"PRFA F ad sits in NC-1, rises, rotates, resettles, likely incubating eggs or young nestlings.",NC-1,46,frmSurveyDetail,[ID] = 14188,1,113,Non-core,2021,130
14189,2021,2021-04-23,South Chalone,TRUE,21824,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T13:55:00Z,1899-12-31T14:50:00Z,Prairie Falcon,2,0,0,0,NA,Yes,"PRFA M ad perches on rock outcrop near SC-14, scold-calls, later PRFA F ad emerges from SC-14 to entry, flies to base of rock outcrop, then back to SC-14, disappears inside, likely to resume incubation. SC-14 is 6-8m up from ground on rock pinnacle, well",SC-14,587,frmSurveyDetail,[ID] = 14189,1,113,Non-core,2021,130
14192,2021,2021-04-27,Narrows East Fork of Marion Canyon,TRUE,21828,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T14:15:00Z,1899-12-31T17:35:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at Narrows.,"NA",467,frmSurveyDetail,[ID] = 14192,0,117,Non-core,2021,134
14196,2021,2021-05-02,Citadel,TRUE,21832,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T14:02:00Z,1899-12-31T15:52:00Z,Prairie Falcon,2,0,0,0,NA,Yes,"PRFA ad pr calls near CI-1 area, later F ad banks up with ground squirrel prey to CI-1, sees me, alarm-calls and flies, circles, banks back into CI-1, does not re-emerge. Likely incubating eggs or (more likely) feeding young nestlings.",CI-1,106,frmSurveyDetail,[ID] = 14196,1,122,Core,2021,139
14198,2021,2021-05-02,Drywall,TRUE,21834,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T09:15:00Z,1899-12-31T11:10:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA ad pr call, likely nest switch at DRY-2, M ad perches at pine snag at NW summit of Drywall Slide, defecates heavily (likely after long incubating period), F ad calls from DRY-2, M flies to shady ledge perch up from DRY-2.",DRY-2,110,frmSurveyDetail,[ID] = 14198,1,122,Non-core,2021,139
